,Unnamed: 0_x,Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude,Source_NodeType,Target_NodeType,similar_template_node,similarity
0,0,636721,2,585417,98586,1398.0,,,,,,,1,2,45.0,76.29955976619797
1,1,628320,1,557269,186326,1.0,4.0,4.0,0.224078,-163.624,2.40053,-161.288,1,1,,0.0
2,2,546593,1,492850,211842,1.0,0.0,3.0,32.2146,-42.6609,-24.9904,-111.346,1,1,,0.0
3,3,536906,0,569329,925206,1.0,,,,,,,1,1,,0.0
4,4,483005,0,655963,1214644,1.0,,,,,,,1,1,,0.0
5,5,601496,0,557269,1233608,1.0,,,,,,,1,1,,0.0
6,6,580798,6,625756,1296000,5.0,2.0,3.0,-22.0,91.0,-25.0,-111.0,1,5,,0.0
7,7,580798,6,625756,1296000,5.0,2.0,3.0,-22.0,91.0,-25.0,-111.0,1,5,,0.0
8,8,580798,6,625756,1296000,5.0,2.0,3.0,-22.0,91.0,-25.0,-111.0,1,5,,0.0
9,9,580798,6,625756,1296000,5.0,2.0,3.0,-22.0,91.0,-25.0,-111.0,1,5,,0.0
10,10,580798,6,625756,1296000,5.0,2.0,3.0,-22.0,91.0,-25.0,-111.0,1,5,,0.0
11,11,492850,6,625756,1641600,-1.0,5.0,3.0,22.0,156.0,-25.0,-111.0,1,5,,0.0
12,12,492850,6,625756,1641600,-1.0,5.0,3.0,22.0,156.0,-25.0,-111.0,1,5,,0.0
13,13,492850,6,625756,1641600,-1.0,5.0,3.0,22.0,156.0,-25.0,-111.0,1,5,,0.0
14,14,492850,6,625756,1641600,-1.0,5.0,3.0,22.0,156.0,-25.0,-111.0,1,5,,0.0
15,15,492850,6,625756,1641600,-1.0,5.0,3.0,22.0,156.0,-25.0,-111.0,1,5,,0.0
16,16,639642,1,639642,1648114,1.0,5.0,5.0,21.5434,154.279,21.5434,154.279,1,1,595298.0,55.062695663570885
17,17,636721,3,461577,1669171,8.0,,,,,,,1,2,45.0,76.29955976619797
18,18,636721,3,629826,1775557,230.0,,,,,,,1,2,45.0,76.29955976619797
19,19,557269,1,544636,1821416,1.0,4.0,3.0,2.40053,-161.288,-23.8755,-111.541,1,1,,0.0
20,20,636721,3,618398,1854984,14.0,,,,,,,1,2,45.0,76.29955976619797
21,21,579305,1,544636,1993324,1.0,0.0,3.0,39.8886,-41.778,-23.8755,-111.541,1,1,,0.0
22,22,584457,0,639642,2333783,1.0,,,,,,,1,1,,0.0
23,23,636721,2,655265,2776828,724.0,,,,,,,1,2,45.0,76.29955976619797
24,24,636721,3,588802,2852810,596.0,,,,,,,1,2,45.0,76.29955976619797
25,25,516873,0,483005,2888446,1.0,,,,,,,1,1,,0.0
26,26,492850,0,580798,2983830,1.0,,,,,,,1,1,,0.0
27,27,636721,3,499177,3136351,1.0,,,,,,,1,2,45.0,76.29955976619797
28,28,536906,0,584457,3979471,1.0,,,,,,,1,1,,0.0
29,29,569329,1,482012,4426243,1.0,0.0,3.0,28.7426,-41.4508,-24.5756,-110.945,1,1,41.0,29.291359632957963
30,30,536906,1,492850,4618802,1.0,5.0,3.0,22.429,154.859,-24.9904,-111.346,1,1,,0.0
31,31,544636,0,544636,5097789,1.0,,,,,,,1,1,,0.0
32,32,580798,0,482012,5399751,1.0,,,,,,,1,1,,0.0
33,33,546593,0,580798,5802122,1.0,,,,,,,1,1,,0.0
34,34,536906,0,541907,5962332,1.0,,,,,,,1,1,,0.0
35,35,464579,0,611572,6753983,1.0,,,,,,,1,1,0.0,72.28684952278951
36,36,584457,0,601496,6765740,1.0,,,,,,,1,1,,0.0
37,37,546593,1,588172,6834265,1.0,0.0,4.0,32.2146,-42.6609,3.00486,-159.23,1,1,,0.0
38,38,584457,0,639642,6834450,1.0,,,,,,,1,1,,0.0
39,39,579305,1,639642,6849146,1.0,0.0,5.0,39.8886,-41.778,21.5434,154.279,1,1,,0.0
40,40,569329,6,561157,6912000,-1.0,0.0,0.0,33.0,-41.0,33.0,-41.0,1,5,41.0,29.291359632957963
41,41,569329,6,561157,6912000,-1.0,0.0,0.0,33.0,-41.0,33.0,-41.0,1,5,41.0,29.291359632957963
42,42,569329,6,561157,6912000,-1.0,0.0,0.0,33.0,-41.0,33.0,-41.0,1,5,41.0,29.291359632957963
43,43,569329,6,561157,6912000,-1.0,0.0,0.0,33.0,-41.0,33.0,-41.0,1,5,41.0,29.291359632957963
44,44,569329,6,561157,6912000,-1.0,0.0,0.0,33.0,-41.0,33.0,-41.0,1,5,41.0,29.291359632957963
45,45,636721,0,546593,7373660,1.0,,,,,,,1,1,45.0,76.29955976619797
46,46,536906,1,516873,7396962,1.0,5.0,2.0,22.429,154.859,-22.066,93.129,1,1,,0.0
47,47,536906,0,585606,8143055,1.0,,,,,,,1,1,,0.0
48,48,579305,0,584457,8577969,1.0,,,,,,,1,1,,0.0
49,49,580798,6,509607,8640000,1.0,2.0,4.0,-22.0,91.0,1.0,-165.0,1,5,,0.0
50,50,580798,6,509607,8640000,1.0,2.0,4.0,-22.0,91.0,1.0,-165.0,1,5,,0.0
51,51,580798,6,509607,8640000,1.0,2.0,4.0,-22.0,91.0,1.0,-165.0,1,5,,0.0
52,52,580798,6,509607,8640000,1.0,2.0,4.0,-22.0,91.0,1.0,-165.0,1,5,,0.0
53,53,580798,6,509607,8640000,1.0,2.0,4.0,-22.0,91.0,1.0,-165.0,1,5,,0.0
54,54,464579,1,580237,8830805,1.0,0.0,1.0,33.7833,-45.4927,-32.7065,-10.3259,1,1,0.0,72.28684952278951
55,55,482012,6,561157,8985600,3.0,5.0,0.0,22.0,156.0,33.0,-41.0,1,5,,0.0
56,56,482012,6,561157,8985600,3.0,5.0,0.0,22.0,156.0,33.0,-41.0,1,5,,0.0
57,57,482012,6,561157,8985600,3.0,5.0,0.0,22.0,156.0,33.0,-41.0,1,5,,0.0
58,58,482012,6,561157,8985600,3.0,5.0,0.0,22.0,156.0,33.0,-41.0,1,5,,0.0
59,59,482012,6,561157,8985600,3.0,5.0,0.0,22.0,156.0,33.0,-41.0,1,5,,0.0
60,60,566580,0,584457,8989733,1.0,,,,,,,1,1,,0.0
61,61,492850,6,625756,9504000,-1.0,0.0,3.0,33.0,-41.0,-25.0,-111.0,1,5,,0.0
62,62,492850,6,625756,9504000,-1.0,0.0,3.0,33.0,-41.0,-25.0,-111.0,1,5,,0.0
63,63,492850,6,625756,9504000,-1.0,0.0,3.0,33.0,-41.0,-25.0,-111.0,1,5,,0.0
64,64,492850,6,625756,9504000,-1.0,0.0,3.0,33.0,-41.0,-25.0,-111.0,1,5,,0.0
65,65,492850,6,625756,9504000,-1.0,0.0,3.0,33.0,-41.0,-25.0,-111.0,1,5,,0.0
66,66,557269,0,639642,9592069,1.0,,,,,,,1,1,,0.0
67,67,636721,3,482579,9689338,24.0,,,,,,,1,2,45.0,76.29955976619797
