,Unnamed: 0,Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude,parent,depth,Source_NodeType,Target_NodeType
0,341875,574136,0,539941,29934736,1.0,,,,,,,574136,-1,1,1
1,378501,574136,3,617468,9210880,2.0,,,,,,,574136,-1,1,2
2,499289,574136,0,491705,30248414,1.0,,,,,,,574136,-1,1,1
3,511231,574136,3,492039,812170,1.0,,,,,,,574136,-1,1,2
4,511232,574136,1,509037,812170,1.0,4.0,4.0,-1.6001,-161.631,1.28672,-171.963,574136,-1,1,1
5,511233,574136,2,593195,812170,2358.0,,,,,,,574136,-1,1,2
6,609397,574136,0,586275,4514441,1.0,,,,,,,574136,-1,1,1
7,609398,574136,2,593195,4514441,971.0,,,,,,,574136,-1,1,2
8,640434,574136,0,571414,29578338,1.0,,,,,,,574136,-1,1,1
9,650439,574136,1,546631,18318465,1.0,4.0,0.0,-1.6001,-161.631,37.2032,-32.8121,574136,-1,1,1
10,650440,574136,2,593195,18318465,671.0,,,,,,,574136,-1,1,2
11,736073,574136,0,578302,18215874,1.0,,,,,,,574136,-1,1,1
12,740977,574136,1,543729,13870972,1.0,4.0,4.0,-1.6001,-161.631,-6.11363,-160.095,574136,-1,1,1
13,853123,574136,3,645667,27313843,488.0,,,,,,,574136,-1,1,2
14,853124,574136,1,512138,27313843,1.0,4.0,2.0,-1.6001,-161.631,-18.8425,95.5804,574136,-1,1,1
15,943191,574136,1,521492,1233022,1.0,4.0,2.0,-1.6001,-161.631,-21.3966,93.1195,574136,-1,1,1
16,988148,574136,3,469675,10805639,4.0,,,,,,,574136,-1,1,2
17,988149,574136,1,601944,10805639,1.0,4.0,5.0,-1.6001,-161.631,25.1109,155.137,574136,-1,1,1
18,1027307,574136,1,576568,2511021,1.0,4.0,0.0,-1.6001,-161.631,26.537,-34.3168,574136,-1,1,1
19,1041675,574136,3,483999,785534,98.0,,,,,,,574136,-1,1,2
20,1177011,574136,1,614091,24862946,1.0,4.0,1.0,-1.6001,-161.631,-27.6404,-15.7211,574136,-1,1,1
21,1177012,574136,2,593195,24862946,1167.0,,,,,,,574136,-1,1,2
22,1269006,574136,0,489270,14695842,1.0,,,,,,,574136,-1,1,1
23,1269007,574136,2,593195,14695842,294.0,,,,,,,574136,-1,1,2
24,1278817,574136,1,626212,5012296,1.0,4.0,3.0,-1.6001,-161.631,-24.4578,-110.325,574136,-1,1,1
25,1278818,574136,2,593195,5012296,307.0,,,,,,,574136,-1,1,2
26,1287327,574136,1,493221,10886400,1.0,4.0,0.0,-1.6001,-161.631,33.1649,-38.4582,574136,-1,1,1
27,1347223,574136,3,531490,7259295,1.0,,,,,,,574136,-1,1,2
28,1396519,574136,0,599435,15571214,1.0,,,,,,,574136,-1,1,1
29,1418184,574136,1,516536,7279022,1.0,4.0,1.0,-1.6001,-161.631,-32.9714,-16.8316,574136,-1,1,1
30,1452839,574136,1,522415,13076651,1.0,4.0,0.0,-1.6001,-161.631,30.5965,-39.2768,574136,-1,1,1
31,1482162,574136,0,648128,30093615,1.0,,,,,,,574136,-1,1,1
32,1526131,574136,1,607488,19360132,1.0,4.0,4.0,-1.6001,-161.631,9.49503,-158.387,574136,-1,1,1
33,1526132,574136,2,593195,19360132,1018.0,,,,,,,574136,-1,1,2
34,1555989,574136,1,510624,8737259,1.0,4.0,4.0,-1.6001,-161.631,3.70611,-165.851,574136,-1,1,1
35,1680937,574136,1,475662,29744411,1.0,4.0,2.0,-1.6001,-161.631,-22.6451,90.7897,574136,-1,1,1
36,1703375,574136,3,548607,20692525,41.0,,,,,,,574136,-1,1,2
37,1703376,574136,0,524570,20692525,1.0,,,,,,,574136,-1,1,1
38,1720840,574136,0,608775,12398093,1.0,,,,,,,574136,-1,1,1
39,1727845,574136,3,583695,30291706,13.0,,,,,,,574136,-1,1,2
40,1795784,574136,1,489194,9808604,1.0,4.0,0.0,-1.6001,-161.631,35.8631,-43.6794,574136,-1,1,1
41,1909576,574136,0,537455,8295499,1.0,,,,,,,574136,-1,1,1
42,1985016,574136,1,560548,7520632,1.0,4.0,2.0,-1.6001,-161.631,-22.7782,89.8169,574136,-1,1,1
43,1985017,574136,2,593195,7520632,317.0,,,,,,,574136,-1,1,2
44,2180686,574136,0,587622,12882423,1.0,,,,,,,574136,-1,1,1
45,2202482,574136,3,475970,16692022,367.0,,,,,,,574136,-1,1,2
46,2355524,574136,0,600532,12216731,1.0,,,,,,,574136,-1,1,1
47,2355525,574136,2,593195,12216731,403.0,,,,,,,574136,-1,1,2
48,2413707,574136,3,641131,2806002,207.0,,,,,,,574136,-1,1,2
49,2413708,574136,1,501687,2806002,1.0,4.0,4.0,-1.6001,-161.631,-1.34936,-161.231,574136,-1,1,1
50,2699442,574136,1,490101,12474039,1.0,4.0,4.0,-1.6001,-161.631,12.0441,-163.73,574136,-1,1,1
51,2968392,574136,0,508047,29912819,1.0,,,,,,,574136,-1,1,1
52,2973003,574136,0,505841,14692692,1.0,,,,,,,574136,-1,1,1
53,2987745,574136,0,613431,9945315,1.0,,,,,,,574136,-1,1,1
54,2987746,574136,2,593195,9945315,199.0,,,,,,,574136,-1,1,2
55,3015927,574136,3,551425,3543497,590.0,,,,,,,574136,-1,1,2
56,3015928,574136,0,527533,3543497,1.0,,,,,,,574136,-1,1,1
57,3168587,574136,3,536851,10899616,146.0,,,,,,,574136,-1,1,2
58,3168588,574136,1,465528,10899616,1.0,4.0,1.0,-1.6001,-161.631,-32.4756,-14.9324,574136,-1,1,1
59,3177128,574136,0,520131,21604146,1.0,,,,,,,574136,-1,1,1
60,3264740,574136,1,476876,23415035,1.0,4.0,1.0,-1.6001,-161.631,-26.6349,-11.824,574136,-1,1,1
61,3340236,574136,0,545997,14729317,1.0,,,,,,,574136,-1,1,1
62,3359907,574136,1,573798,6839895,1.0,4.0,2.0,-1.6001,-161.631,-23.695,87.9145,574136,-1,1,1
63,3423302,574136,1,594957,3728194,1.0,4.0,0.0,-1.6001,-161.631,34.9444,-41.8066,574136,-1,1,1
