,Unnamed: 0.1_x,Unnamed: 0_x,Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude,parent,depth,Source_NodeType,Target_NodeType,Unnamed: 0.1_y,similar_template_node,similarity
0,0,341875,574136,0,539941,29934736,1.0,,,,,,,574136,-1,1,1,,,0.0
1,1,378501,574136,3,617468,9210880,2.0,,,,,,,574136,-1,1,2,,,0.0
2,2,499289,574136,0,491705,30248414,1.0,,,,,,,574136,-1,1,1,,,0.0
3,3,511231,574136,3,492039,812170,1.0,,,,,,,574136,-1,1,2,,,0.0
4,4,511232,574136,1,509037,812170,1.0,4.0,4.0,-1.6001,-161.631,1.28672,-171.963,574136,-1,1,1,,,0.0
5,5,511233,574136,2,593195,812170,2358.0,,,,,,,574136,-1,1,2,56.0,503701.0,50.06313959056955
6,6,609397,574136,0,586275,4514441,1.0,,,,,,,574136,-1,1,1,,,0.0
7,7,609398,574136,2,593195,4514441,971.0,,,,,,,574136,-1,1,2,56.0,503701.0,50.06313959056955
8,8,640434,574136,0,571414,29578338,1.0,,,,,,,574136,-1,1,1,,,0.0
9,9,650439,574136,1,546631,18318465,1.0,4.0,0.0,-1.6001,-161.631,37.2032,-32.8121,574136,-1,1,1,,,0.0
10,10,650440,574136,2,593195,18318465,671.0,,,,,,,574136,-1,1,2,56.0,503701.0,50.06313959056955
11,11,736073,574136,0,578302,18215874,1.0,,,,,,,574136,-1,1,1,,,0.0
12,12,740977,574136,1,543729,13870972,1.0,4.0,4.0,-1.6001,-161.631,-6.11363,-160.095,574136,-1,1,1,,,0.0
13,13,853123,574136,3,645667,27313843,488.0,,,,,,,574136,-1,1,2,,,0.0
14,14,853124,574136,1,512138,27313843,1.0,4.0,2.0,-1.6001,-161.631,-18.8425,95.5804,574136,-1,1,1,,,0.0
15,15,943191,574136,1,521492,1233022,1.0,4.0,2.0,-1.6001,-161.631,-21.3966,93.1195,574136,-1,1,1,,,0.0
16,16,988148,574136,3,469675,10805639,4.0,,,,,,,574136,-1,1,2,,,0.0
17,17,988149,574136,1,601944,10805639,1.0,4.0,5.0,-1.6001,-161.631,25.1109,155.137,574136,-1,1,1,,,0.0
18,18,1027307,574136,1,576568,2511021,1.0,4.0,0.0,-1.6001,-161.631,26.537,-34.3168,574136,-1,1,1,,,0.0
19,19,1041675,574136,3,483999,785534,98.0,,,,,,,574136,-1,1,2,,,0.0
20,20,1177011,574136,1,614091,24862946,1.0,4.0,1.0,-1.6001,-161.631,-27.6404,-15.7211,574136,-1,1,1,,,0.0
21,21,1177012,574136,2,593195,24862946,1167.0,,,,,,,574136,-1,1,2,56.0,503701.0,50.06313959056955
22,22,1269006,574136,0,489270,14695842,1.0,,,,,,,574136,-1,1,1,,,0.0
23,23,1269007,574136,2,593195,14695842,294.0,,,,,,,574136,-1,1,2,56.0,503701.0,50.06313959056955
24,24,1278817,574136,1,626212,5012296,1.0,4.0,3.0,-1.6001,-161.631,-24.4578,-110.325,574136,-1,1,1,,,0.0
25,25,1278818,574136,2,593195,5012296,307.0,,,,,,,574136,-1,1,2,56.0,503701.0,50.06313959056955
26,26,1287327,574136,1,493221,10886400,1.0,4.0,0.0,-1.6001,-161.631,33.1649,-38.4582,574136,-1,1,1,,,0.0
27,27,1347223,574136,3,531490,7259295,1.0,,,,,,,574136,-1,1,2,,,0.0
28,28,1396519,574136,0,599435,15571214,1.0,,,,,,,574136,-1,1,1,,,0.0
29,29,1418184,574136,1,516536,7279022,1.0,4.0,1.0,-1.6001,-161.631,-32.9714,-16.8316,574136,-1,1,1,,,0.0
30,30,1452839,574136,1,522415,13076651,1.0,4.0,0.0,-1.6001,-161.631,30.5965,-39.2768,574136,-1,1,1,,,0.0
31,31,1482162,574136,0,648128,30093615,1.0,,,,,,,574136,-1,1,1,,,0.0
32,32,1526131,574136,1,607488,19360132,1.0,4.0,4.0,-1.6001,-161.631,9.49503,-158.387,574136,-1,1,1,,,0.0
33,33,1526132,574136,2,593195,19360132,1018.0,,,,,,,574136,-1,1,2,56.0,503701.0,50.06313959056955
34,34,1555989,574136,1,510624,8737259,1.0,4.0,4.0,-1.6001,-161.631,3.70611,-165.851,574136,-1,1,1,,,0.0
