,Unnamed: 0,node_id,similar_template_node,similarity
78,78,464459,606730,83.54696439891876
39,39,464563,630626,79.54920307443352
86,86,472522,62,81.32056863266412
83,83,475811,59,78.28173472974689
3,3,477138,34,61.32737925134146
20,20,505965,58,71.36260669364304
85,85,510031,61,82.22447572001413
58,58,515799,644226,80.82830756479515
68,68,533024,33,83.2882223670248
72,72,536953,42,80.35711627608265
77,77,538892,640784,99.98262010636071
17,17,544615,43,63.92252331736466
82,82,546626,55,81.55653626692265
63,63,548320,616315,80.21358979498639
70,70,552439,36,82.25267070411813
43,43,552988,552988,57.344452478260365
29,29,561114,84,99.98264444048203
8,8,563211,65,58.69711579473559
1,1,564798,-99,100.0
51,51,571970,537281,83.92998651088791
24,24,572413,45,53.70331606525152
52,52,575030,523927,77.15722723616507
49,49,577992,589943,76.22105367687746
59,59,580426,632961,75.59731229622993
4,4,585212,37,77.20252631831997
87,87,590265,64,81.36325969152543
41,41,595057,510031,80.3500385408162
33,33,601492,71,99.32966085983496
74,74,606043,46,83.18021705497173
44,44,616315,567195,69.73779277109143
55,55,621924,642329,80.20792568654029
34,34,625756,72,99.75075324084008
7,7,629627,39,88.01637179364411
32,32,635665,74,80.31990637439482
67,67,640784,503218,84.51775597487415
84,84,644226,60,79.33216286647561
45,45,644830,527449,63.06768464121948
79,79,645210,52,82.43866887077418
