Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude
600532,3,641131,26824355,56.0,,,,,,
565931,3,643087,13256647,34.0,,,,,,
591496,3,641131,14965927,101.0,,,,,,
591496,3,641131,18322810,328.0,,,,,,
591496,0,633862,30643748,1.0,,,,,,
591496,3,643087,30919166,101.0,,,,,,
591496,3,641131,26548770,42.0,,,,,,
506422,3,641131,10579115,2734.0,,,,,,
565931,3,643087,7744378,193.0,,,,,,
504753,3,643087,11842208,146.0,,,,,,
640495,1,462721,1830321,1.0,1.0,0.0,-27.943,-11.7009,34.3404,-50.6969
462721,3,641131,15794130,154.0,,,,,,
506422,3,641131,13318082,87.0,,,,,,
600532,1,462401,473775,1.0,1.0,0.0,-28.4186,-11.9688,33.4288,-44.0737
600532,3,593195,4758177,1111.0,,,,,,
600532,3,552748,11929700,1481.0,,,,,,
600532,3,593195,12216731,403.0,,,,,,
600532,0,581049,13346651,1.0,,,,,,
600532,3,552748,21458428,835.0,,,,,,
600532,3,641131,23155831,757.0,,,,,,
600532,3,552748,26209664,66.0,,,,,,
462721,0,600532,29476808,1.0,,,,,,
565931,3,641131,20744675,120.0,,,,,,
565931,3,641131,1063306,94.0,,,,,,
631870,3,641131,17121258,54.0,,,,,,
600532,3,641131,27923045,272.0,,,,,,
489418,1,504753,9171934,1.0,0.0,0.0,30.8974,-40.6273,30.8083,-43.3497
504753,3,641131,14790731,174.0,,,,,,
504753,0,600532,28690278,1.0,,,,,,
547586,1,504753,29395496,1.0,4.0,0.0,0.848406,-165.523,30.8083,-43.3497
600532,3,641131,9098453,482.0,,,,,,
565931,3,516054,22550791,125.0,,,,,,
591496,3,641131,14874295,143.0,,,,,,
462721,3,516054,26398765,267.0,,,,,,
631870,3,641131,12823785,168.0,,,,,,
591496,3,641131,14862526,261.0,,,,,,
506422,3,641131,12916096,454.0,,,,,,
466041,1,506422,18774736,1.0,0.0,4.0,35.0628,-41.4768,-1.59517,-161.865
506422,3,516389,20252446,15.0,,,,,,
506422,3,643087,23785236,117.0,,,,,,
600532,3,641131,30020430,866.0,,,,,,
600532,3,552748,15575424,535.0,,,,,,
506422,3,516054,12466826,1086.0,,,,,,
462721,3,516054,546535,12.0,,,,,,
506422,3,641131,26453336,56.0,,,,,,
540634,1,617756,30603984,1.0,4.0,2.0,3.67425,-160.744,-22.4801,90.368
551139,0,504753,1400084,1.0,,,,,,
551139,0,625840,22747714,1.0,,,,,,
631870,3,552748,24661455,267.0,,,,,,
565931,0,510616,30413543,1.0,,,,,,
640264,1,466899,285269,1.0,2.0,4.0,-21.6291,88.6752,5.70948,-167.383
591496,0,565931,5722609,1.0,,,,,,
630746,0,504474,14708527,1.0,,,,,,
591496,3,641131,22222099,87.0,,,,,,
492106,0,656390,26928597,1.0,,,,,,
573604,0,617756,17555798,1.0,,,,,,
515521,1,600532,9083399,1.0,5.0,1.0,24.6472,153.448,-28.4186,-11.9688
582897,1,649820,16948293,1.0,0.0,5.0,36.0137,-45.5351,22.7004,154.356
584010,1,591194,8299079,1.0,4.0,4.0,6.30631,-160.075,-3.82612,-162.765
584010,1,522398,9720016,1.0,4.0,4.0,6.30631,-160.075,3.58558,-166.295
584010,0,600532,12743732,1.0,,,,,,
584010,1,506422,14877309,1.0,4.0,4.0,6.30631,-160.075,-1.59517,-161.865
584010,0,600532,22047408,1.0,,,,,,
584010,0,591496,23160280,1.0,,,,,,
584010,0,600532,23505863,1.0,,,,,,
584010,0,485479,24120406,1.0,,,,,,
589486,0,584010,28449166,1.0,,,,,,
506422,3,643087,23076648,391.0,,,,,,
591496,3,641131,4324595,17.0,,,,,,
462721,0,498374,10308646,1.0,,,,,,
655901,1,617756,698261,1.0,4.0,2.0,5.47832,-166.805,-22.4801,90.368
591496,1,601487,29392392,1.0,5.0,2.0,22.1943,153.618,-22.7803,87.3741
649820,1,654917,4514630,1.0,5.0,0.0,22.7004,154.356,36.7184,-34.959
624070,1,649820,8301691,1.0,5.0,5.0,19.0952,157.973,22.7004,154.356
649820,0,462721,14957285,1.0,,,,,,
582897,1,649820,19977909,1.0,0.0,5.0,36.0137,-45.5351,22.7004,154.356
655901,1,649820,21687877,1.0,4.0,5.0,5.47832,-166.805,22.7004,154.356
586303,1,649820,22474800,1.0,4.0,5.0,1.31978,-167.17,22.7004,154.356
640635,1,506422,9005805,1.0,0.0,4.0,32.6335,-37.1001,-1.59517,-161.865
640635,1,561656,11754038,1.0,0.0,5.0,32.6335,-37.1001,18.723,153.843
457082,0,656390,23697158,1.0,,,,,,
636189,0,551139,4167634,1.0,,,,,,
591194,1,492106,17404596,1.0,4.0,3.0,-3.82612,-162.765,-24.2688,-110.567
631870,0,631870,29549416,1.0,,,,,,
649820,1,594035,5964608,1.0,5.0,4.0,22.7004,154.356,-1.44949,-166.664
655479,0,498374,15930671,1.0,,,,,,
630746,0,640635,31190442,1.0,,,,,,
575592,0,540634,24840951,1.0,,,,,,
457082,0,617217,25714981,1.0,,,,,,
457082,0,462721,31125638,1.0,,,,,,
600532,1,617123,7136119,1.0,1.0,5.0,-28.4186,-11.9688,20.1496,157.204
600532,3,643087,27218912,353.0,,,,,,
467416,1,645164,25713752,1.0,4.0,3.0,2.06536,-167.634,-24.7101,-110.334
474506,0,485479,355010,1.0,,,,,,
512311,0,474506,733045,1.0,,,,,,
474506,0,511817,10543229,1.0,,,,,,
474506,1,594035,20651423,1.0,4.0,4.0,2.95819,-163.314,-1.44949,-166.664
